centre_id,centre_name,original_address,district,taluk,geocoding_query,latitude,longitude,status,confidence,provider,provider_result,validation_reason,unresolved_category,geocoded_at
tc-014,The Association of Physically Handicapped Trg. Cen.,Lingarajpuram Hennur Road,Bengaluru Urban,,"Lingarajpuram Hennur Road, Bengaluru, Karnataka, India",13.008744,77.622151,SUCCESS,HIGH,osm-nominatim,"Vinay Nursing Home, Lingarajpuram, Lingarajapuram Flyover, New Bagalur Layout, Richards Town, Lingarajpura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560084, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['lingarajpuram'] (+8); Plausible POI (amenity/clinic) (+5),,2026-09-06T06:19:35.461806+00:00
tc-015,NTTF Industrial Training Centre,"# 40/40A, Electronic City, Hosur Road",Bengaluru Urban,,"Electronic City, Bengaluru, Karnataka, India",12.856798,77.663238,SUCCESS,HIGH,osm-nominatim,"Electronic City, Hosur Road, Chikkathoguru, Bengaluru South City Corporation, Electronic City, Bangalore South, Bengaluru Urban, Karnataka, 560100, India","High confidence match (Score 85.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Strong token overlap ['electronic', 'city', 'hosur'] (+15)",,2026-09-06T06:19:35.462126+00:00
tc-016,Ghousia Industrial Training Institute,Hosur Road Dharma Ram College,Bengaluru Urban,,"Ghousia, Bengaluru, Karnataka, India",12.943002,77.594438,SUCCESS,HIGH,osm-nominatim,"Ghousia, 1st Main Road, Someshwaranagar, Kanakanapalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560069, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['ghousia'] (+8); Plausible POI (amenity/pharmacy) (+5),,2026-09-06T06:19:35.462310+00:00
tc-017,Maulana Azad National Urdu University-ITC,"CA. Site No(P) 2, Jnanabharthi Layout 3rd Block Vaegarihalli R.V.C Post Bangalore-560059",Bengaluru Urban,,"560059, Bengaluru, Karnataka, India",12.923778,77.495786,SUCCESS,HIGH,osm-nominatim,"560059, Mylasandra, Bengaluru West City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, India",High confidence match (Score 93.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 560059 (+15); Token overlap ['bangalore'] (+8),,2026-09-06T06:19:35.462591+00:00
tc-018,The Technical Training Centre for the Deaf,"No:28/2, Haines Road, Near New Bamboo Bazaar",Bengaluru Urban,,"Haines Road, Bengaluru, Karnataka, India",12.998861,77.610273,SUCCESS,HIGH,osm-nominatim,"Haines Road, Pottery Town, S.K Garden, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['haines'] (+8); Plausible POI (highway/primary) (+5),,2026-09-06T06:19:35.462912+00:00
tc-019,St. Patrick's ITC,"15-K, Brigade Road Bangalore",Bengaluru Urban,,"Brigade Road Bangalore, Bengaluru, Karnataka, India",12.973473,77.607319,SUCCESS,HIGH,osm-nominatim,"India Chai, Brigade Road, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['bangalore', 'brigade'] (+8); Plausible POI (amenity/cafe) (+5)",,2026-09-06T06:19:35.463180+00:00
tc-020,Ashok Private ITI,"No. 8, K.B.C. Complex, Jalahalli Cross, T. Dasarahalli",Bengaluru Urban,,"Jalahalli Cross, Bengaluru, Karnataka, India",13.039888,77.51836,SUCCESS,HIGH,osm-nominatim,"Jalahalli Cross, Tumkur Road, Chokkasandra, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560058, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['jalahalli'] (+8); Plausible POI (highway/traffic_signals) (+5),,2026-09-06T06:19:35.463505+00:00
tc-021,Pragathi Industrial Training Centre,Fort Street Vijaypura,Bengaluru Rural,,"Fort Street Vijaypura, Bengaluru Rural, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-022,J C S Industrial Training Institute Nelamangala,Nelamangala,Bengaluru Rural,,"Nelamangala, Bengaluru Rural, Karnataka, India",13.095302,77.396359,SUCCESS,HIGH,osm-nominatim,"Nelamangala, Nelamangala taluk, Bengaluru North, Karnataka, 562123, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['nelamangala'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.464127+00:00
tc-023,Sri Banashankari ITC,"# 37, Parvartha Pura Road, Devanhalli, Bangalore",Bengaluru Rural,,"Parvartha Pura Road, Bengaluru Rural, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-024,J S S Industrial Training Institute Nanjangud,"Plot No. CA-10, KIADB Thandya Industrial Area, Thandya-571302, Nanjangud",Mysuru,,"571302, Mysuru, Karnataka, India",12.180052,76.741856,SUCCESS,HIGH,osm-nominatim,"571302, Nanjanagudu taluk, Mysuru District, Karnataka, India",High confidence match (Score 90.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 571302 (+15); Plausible POI (place/postcode) (+5),,2026-09-06T06:19:35.464908+00:00
tc-025,"Sri Nanjundeshwara Industrail Training Centre, Kadakola","Kadakola, Nanjangud Taluk",Mysuru,,"Kadakola, Mysuru, Karnataka, India",12.192722,76.664523,SUCCESS,HIGH,osm-nominatim,"Kadakola, Mysuru taluk, Mysuru District, Karnataka, 571311, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['kadakola'] (+8); Plausible POI (place/village) (+5),,2026-09-06T06:19:35.465420+00:00
tc-026,Sri Nanjunda Shivayageshwara ITI,Gavadagere Hunsur Tq.,Mysuru,,"Gavadagere Hunsur, Mysuru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-027,Jnanabyaveshwara Industrail Training Centre,Saligrama K.R Nagar,Mysuru,,"Saligrama K.R Nagar, Mysuru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-028,"B M M Pvt ITI, Bannur","opp CESC, Bannur, Taluku T. Narsipura",Mysuru,,"CESC, Mysuru, Karnataka, India",12.322419,76.629682,SUCCESS,HIGH,osm-nominatim,"CESC Office, Adipampa Road, Gokulam, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['cesc'] (+8); Plausible POI (office/government) (+5),,2026-09-06T06:19:35.465998+00:00
tc-029,Jagruthi ITC,"7th Block, B.M. Road, Periyapatna",Mysuru,,"th Block, Mysuru, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-030,"Smt Puttathayamma Mariyappa ITC, K.R Nagar",Sri Rama Block K.R Nagar,Mysuru,,"Sri Rama .R Nagar, Karnataka, India",,,FAILED,LOW,osm-nominatim,"Sri Rama Mandira, Sri Ram Mandir Road, Sampangi Rama Nagara, Sampangirama Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560027, India",Insufficient match quality (Score 33.0 < 55),FAILED_VALIDATION,
tc-031,Glo Tec ITC,"ID-3, Hootagalli Industrial Area",Mysuru,,"Hootagalli Industrial Area, Mysuru, Karnataka, India",12.335646,76.5945,SUCCESS,HIGH,osm-nominatim,"Reliance Smart Superstore, Surey No.37/12, &, Archid Ply, Hootagalli Industrial Area, Hootagalli, Hunasur Road, Hebbalu, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 571130, India","High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['area', 'hootagalli'] (+8)",,2026-09-06T06:19:35.466619+00:00
tc-032,Sri Sathya Sai ITC Hunsur,Hunsur,Mysuru,,"Hunsur, Mysuru, Karnataka, India",,,AMBIGUOUS,AMBIGUOUS,osm-nominatim,"Hunsur, Hunasuru taluk, Mysuru District, Karnataka, 571105, India",Multiple distant candidates (>25km) in PASS_1_LOCALITY_DIST,AMBIGUOUS,
tc-033,"Sri Pravardhana ITI, K.R Nagar","Mysore Road, K R Nagar",Mysuru,,"Mysore Road, Mysuru, Karnataka, India",,,AMBIGUOUS,AMBIGUOUS,osm-nominatim,"Chandra Mouli Layer Complex kanthraj road Mysore, New Kantharaje Urs Road, Ramakrishna Nagara, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India",Multiple distant candidates (>25km) in PASS_1_LOCALITY_DIST,AMBIGUOUS,
tc-034,The National Institute of Industrial Education I.T.C,"No. 65 Industrial area, Visweswarayya Nagar",Mysuru,,"Industrial area, Mysuru, Karnataka, India",12.360233,76.633949,SUCCESS,HIGH,osm-nominatim,"Metagalli Industrial Area, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['area'] (+8); Plausible POI (place/suburb) (+5),,2026-09-06T06:19:35.467353+00:00
tc-035,MESCO Industrial Training Institute,"37/1, Link Road N R Mohalla",Mysuru,,"MESCO, Mysuru, Karnataka, India",12.303239,76.645627,SUCCESS,HIGH,osm-nominatim,"Mesco Higher Primary School, Diwan's Road, Chamarajapuram, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570007, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['mesco'] (+8); Plausible POI (amenity/school) (+5),,2026-09-06T06:19:35.467537+00:00
tc-036,St. Philomena's Industrial Training Centre,B N Road,Mysuru,,"B N Road, Mysuru, Karnataka, India",12.294095,76.627588,SUCCESS,HIGH,osm-nominatim,"Aniketana Road North 9th Cross, Kuvempunagara, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (/residential) (+5),,2026-09-06T06:19:35.467728+00:00
tc-037,M E S Industrial Training Centre,"Eidgah Ground, Umar Khayam Road, Tilak Nagar, Mysore 570001",Mysuru,,"570001, Mysuru, Karnataka, India",12.31414,76.644151,SUCCESS,HIGH,osm-nominatim,"570001, Mysuru taluk, Mysuru District, Karnataka, India",High confidence match (Score 90.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 570001 (+15); Plausible POI (place/postcode) (+5),,2026-09-06T06:19:35.467972+00:00
tc-038,Sri Guru Channamallikarjuna Private ITI,"Opp. Taluk Office, T.Narasipura",Mysuru,,"Office, Mysuru, Karnataka, India",12.307218,76.664289,SUCCESS,HIGH,osm-nominatim,"Police Commissioner's Office, Mirza Road, Nazarbad, Mysuru, Mysuru taluk, Mysuru District, Karnataka, 570001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['office'] (+8); Plausible POI (building/yes) (+5),,2026-09-06T06:19:35.468437+00:00
tc-039,Sri Mahanteshwara Vidhya Varthaka Sangha Industrial Training Centre,Afzalpur,Kalaburagi,,"Afzalpur, Kalaburagi, Karnataka, India",17.200576,76.360578,SUCCESS,HIGH,osm-nominatim,"Afzalpur, Afzalpura taluku, Kalaburagi, Karnataka, 585301, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['afzalpur'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.468810+00:00
tc-040,H.K.E.S Industrail Training Institute Nimbarga,Nimbarga,Kalaburagi,,"Nimbarga, Kalaburagi, Karnataka, India",17.386079,76.585342,SUCCESS,HIGH,osm-nominatim,"Nimbarga, Alanda taluku, Kalaburagi, Karnataka, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['nimbarga'] (+8); Plausible POI (/village) (+5),,2026-09-06T06:19:35.469065+00:00
tc-041,"Hyderabad Karnataka Education Society's Industrial Training Institute, Kamalapur","Near DIET, Humanabad Road, Post: Kamalapura",Kalaburagi,,"DIET, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-042,Kayaka Industrail Training Centre,S.R.G Complex Razavi Road Alanda,Kalaburagi,,"S.R.G Complex Razavi Road Alanda, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-043,"Kudala Sangama Educational Societys Industrial Training Institute, Shahabad","Near Star Function Hall, Hongunta Road, Shahabad, Tq: Chittapur",Kalaburagi,,"Star Function Hall, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-044,Kagina Private Industrial Training Institute Adityanagar,Malkhed Road Adityanagar,Kalaburagi,,"Malkhed Road Adityanagar, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-045,"Jnana Jyothi Industrial Training Centre, Sedam",Sedam,Kalaburagi,,"Sedam, Kalaburagi, Karnataka, India",17.177268,77.282355,SUCCESS,HIGH,osm-nominatim,"Sedam, Sedam taluku, Kalaburagi, Karnataka, 585222, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['sedam'] (+8); Plausible POI (/town) (+5),,2026-09-06T06:19:35.470312+00:00
tc-046,Sri Noorandeshwar ITC Jewargi,At Post: Naribol Road Jewargi,Kalaburagi,,"Naribol Road Jewargi, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-047,Adarsh Educational Trust PROF.P.S.CHOUDARY I..T.I Kalaburagi,Swamy Vivekanand Nagar Near Santosh Colony Aland Road Kalaburagi,Kalaburagi,,"Swamy Vivekanand Nagar Santosh Colony Aland Road Kalaburagi, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-048,Shree Basaveshwar Industrial Training Centre,At Post: Farhatabad Tq: Kalaburagi,Kalaburagi,,"Farhatabad : Kalaburagi, Kalaburagi, Karnataka, India",17.182993,76.791694,SUCCESS,HIGH,osm-nominatim,"Government Hospital, Farhatabad, Bidar - Lakshmisagara Highway, Kotnuru, Kalaburagi, Karnataka, 585308, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['kalaburagi', 'farhatabad'] (+8); Plausible POI (amenity/hospital) (+5)",,2026-09-06T06:19:35.470920+00:00
tc-049,Sharana Basaveshwara Industrial Training Centre Chittapur Tq,Chittapur Tq,Kalaburagi,,"Chittapur, Kalaburagi, Karnataka, India",17.100576,77.047589,SUCCESS,HIGH,osm-nominatim,"Wadi - Chittapur Road, Chittapura, Chitapura taluku, Kalaburagi, Karnataka, 585211, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['chittapur'] (+8); Plausible POI (highway/secondary) (+5),,2026-09-06T06:19:35.471074+00:00
tc-050,Sri Gurudatta Industrial Training Centre,"Ganagapur Road, Choudapur, Afzalpur Tq.",Kalaburagi,,"Ganagapur Road, Kalaburagi, Karnataka, India",17.340746,76.589503,SUCCESS,HIGH,osm-nominatim,"Ganagapur Road, SH155, Gudura, Afzalpura taluku, Kalaburagi, Karnataka, India",High confidence match (Score 78.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['ganagapur'] (+8),,2026-09-06T06:19:35.471298+00:00
tc-051,Gurukal ITI,"82, Sy No-31 Part of Village Nizampur Near Kamal Narag",Kalaburagi,,"Sy Part of Village Nizampur Kamal Narag, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-052,"National Industrial Training Institute, Kalaburagi","Hafthagumbad, Darga Road, Kalaburagi",Kalaburagi,,"National Kalaburagi, Kalaburagi, Karnataka, India",17.278791,76.870511,SUCCESS,HIGH,osm-nominatim,"NATIONAL PUBLIC SCHOOL, Gulbarga - Devasuguru Highway, Rajapura, Nanduru, Kalaburagi taluku, Kalaburagi, Karnataka, 585106, India","High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['national', 'kalaburagi'] (+8); Plausible POI (amenity/school) (+5)",,2026-09-06T06:19:35.471699+00:00
tc-053,"Hyderabad Karnataka Education Society's Industrial Training Institute, Kalaburagi","PDA Engineering College Premises, Kalaburagi",Kalaburagi,,"PDA Engineering College Premises, Kalaburagi, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-054,"Ashrapree Industrail Training Institute Krishnapur, Hubli","27/2A Krishnapur Jawahar Nagar Gudihal Road Old-Hubli, Hubli-580024",Dharwad (Hubballi-Dharwad),,"580024, Dharwad, Karnataka, India",15.335146,75.128392,SUCCESS,HIGH,osm-nominatim,"580024, Hubballi Urban Taluku, Dharwad, Karnataka, India",High confidence match (Score 90.0): Country=India (+25); State=Karnataka (+25); District matched (+20); PIN match 580024 (+15); Plausible POI (place/postcode) (+5),,2026-09-06T06:19:35.472142+00:00
tc-055,SSK Hitavardhaka Sangh Y.T Miskin PVT. ITI. Hubli,"4th Cross, Mayur Nagar, Anand Nagar, Old Hubli, Hubli",Dharwad (Hubballi-Dharwad),,"th Cross, Dharwad, Karnataka, India",15.392901,75.078684,SUCCESS,HIGH,osm-nominatim,"11th Cross Road, Navanagar, Amaragol, Hubballi Urban Taluku, Dharwad, Karnataka, 580025, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (highway/residential) (+5),,2026-09-06T06:19:35.472524+00:00
tc-056,"Navalagund Taluka Shikshana Samsthe, Navalagund",Navalagund,Dharwad (Hubballi-Dharwad),,"Navalagund, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-057,Shri Guru Gorakshanath ITI Tarihal Road Gokul Hubli,266/1 Tarihal Road Gokul Hubli-580026,Dharwad (Hubballi-Dharwad),,"580026, Dharwad, Karnataka, India",15.350742,75.112109,SUCCESS,HIGH,osm-nominatim,"State Bank of India, Gokul Road / Airport Road, Dollars Colony, Padmaraj Nagar, Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['gokul'] (+8); Plausible POI (amenity/bank) (+5),,2026-09-06T06:19:35.473016+00:00
tc-058,"Vijayanand Institute of Technology ITI Varur, Hubli",Hubli,Dharwad (Hubballi-Dharwad),,"Hubli, Karnataka, India",15.351838,75.137985,SUCCESS,HIGH,osm-nominatim,"Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",High confidence match (Score 75.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Plausible POI (place/city) (+5),,2026-09-06T06:19:35.473200+00:00
tc-059,"Sai Sangam ITI, Hubli","Sulya Road, Hubli",Dharwad (Hubballi-Dharwad),,"Sulya Road, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-060,Sanmith ITI Dharwad,"Vivekanandanagar, Gopalagowda Extn.",Dharwad (Hubballi-Dharwad),,"Vivekanandanagar, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-061,Jnanajyothi ITI Dharwad,"Jadhav Building, 1st Cross, Marata Colony",Dharwad (Hubballi-Dharwad),,"Jadhav Building, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-062,Most Rev. Dr. V P Dandin ITI Dharwad,"Near CSI College of Commerce, Dharwad",Dharwad (Hubballi-Dharwad),,"CSI College of Commerce, Dharwad, Karnataka, India",15.456741,75.008934,SUCCESS,HIGH,osm-nominatim,"CSI College of Commerce, Pune Bangalore Road, Yalakki Shettar Colony, Gandhinagar, Dharwad, Dharawada taluku, Dharwad, Karnataka, 580001, India","High confidence match (Score 90.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Strong token overlap ['college', 'commerce', 'dharwad'] (+15); Plausible POI (amenity/college) (+5)",,2026-09-06T06:19:35.473845+00:00
tc-063,Jeeveswara Shikehan Samithi ITI Hubli,"Channapeth Ganjipeth, Old Hubli",Dharwad (Hubballi-Dharwad),,"Channapeth Ganjipeth, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-064,"N W K R T C Industrial Training Institute, Hubli","Gokul Road, Hubli",Dharwad (Hubballi-Dharwad),,"Gokul Road, Dharwad, Karnataka, India",15.354982,75.088712,SUCCESS,HIGH,osm-nominatim,"Gokul Road / Airport Road, Nehru Nagar, Padmaraj Nagar, Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['gokul'] (+8); Plausible POI (highway/secondary) (+5),,2026-09-06T06:19:35.474373+00:00
tc-065,Sri Dharmastala Manjunathaeshwara Pvt. ITI Sattur Dharwad,"Dhavalagiri, Sattur P.B.Road",Dharwad (Hubballi-Dharwad),,"Dhavalagiri, Dharwad, Karnataka, India",,,FAILED,LOW,,,No matching results across all query passes,FAILED_NO_RESULT,
tc-066,Shivanand ITI Dharwad,At Dharwad,Dharwad (Hubballi-Dharwad),,"At Dharwad, Dharwad, Karnataka, India",15.45405,75.006652,SUCCESS,HIGH,osm-nominatim,"Dharwad, Dharawada taluku, Dharwad, Karnataka, 580001, India",High confidence match (Score 83.0): Country=India (+25); State=Karnataka (+25); District matched (+20); Token overlap ['dharwad'] (+8); Plausible POI (place/city) (+5),,2026-09-06T06:19:35.474718+00:00
