id,authority,title,official_url,source_type,publication_date,retrieved_date,last_verified_date,verification_status,notes
src-011,"National Qualification Register (NQR), NCVET","Beauty Therapist â€” Qualification Listing (BWS/Q0102, NSQF Level 4)",https://www.nqr.gov.in/public/qualifications/3973,portal-page,,2026-09-05,2026-09-05,pending-review,"QP code and title found via a web-search snippet only; the full qualification file was not fetched/read in this session. REQUIRES OFFICIAL SOURCE VERIFICATION before any further detail is treated as fact."
src-012,"National Qualification Register (NQR), NCVET","Qualification File â€” Electric Vehicle Service Technician",https://www.nqr.gov.in/sites/default/files/QF%20-%20Electric%20Vehicle%20Service%20Technician.pdf,pdf-guideline,,2026-09-05,2026-09-05,pending-review,"URL located via search; direct fetch in this session returned unparsable binary content and was not successfully re-read. REQUIRES OFFICIAL SOURCE VERIFICATION."
src-013,"Press Information Bureau, Government of India","Pradhan Mantri Kaushal Vikas Yojana (PMKVY) 4.0 â€” related press releases",https://www.pib.gov.in/PressReleasePage.aspx?PRID=1895304,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via search; general scheme description (free short-term training, new-age job roles, placement delinked) comes from a secondary search-engine summary of several PIB releases, not one directly fetched/quoted press note. Commonly cited age eligibility (15-45 STT / 18-59 RPL) is NOT independently confirmed against an official PMKVY guideline document in this session and REQUIRES OFFICIAL SOURCE VERIFICATION."
src-014,"General geographic reference (not a single official dataset)","Approximate district-centroid coordinates for Karnataka districts used in the golden test cases",,other,,2026-09-05,2026-09-05,pending-review,"Widely-published city-centre coordinates (comparable to standard atlas references), not independently verified against an official GIS/Survey-of-India dataset in this session. Used ONLY as an approximate fallback for location matching (see Architecture Section I) and must always be presented as 'approximate' â€” never as a precise centre location."
src-015,"Karnataka Skill Development Corporation (KSDC)","Karnataka Skill Development Corporation â€” Official Homepage (Kaushalkar)",https://kaushalkar.karnataka.gov.in/english,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via search results only; not directly fetched/read in this session."
src-016,"Directorate General of Training (DGT), MSDE â€” Regional Directorate of Skill Development & Entrepreneurship, Karnataka","Regional Directorate of Skill Development & Entrepreneurship, Karnataka â€” Official Site",https://rdsdekarnataka.dgt.gov.in/,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via search as the official DGT regional body overseeing Government ITIs in Karnataka. Page not fetched/read in this session. Recommended as the authoritative starting point to obtain a verified Government ITI list during the sprint."
src-017,"Directorate of Employment and Training (DET), Government of Karnataka","DET Karnataka â€” Government ITIs Index (candidate reference; unreachable in this session)",http://emptrg.kar.nic.in/govt-itis-index.htm,portal-page,,2026-09-05,2026-09-05,broken-link,"DNS resolution failed when fetched on 2026-09-05. Domain may have moved or expired. Recorded so the sprint team knows this lead was attempted and did not resolve â€” do not cite as a working source until re-verified."
src-018,"Open Government Data (OGD) Platform India / Karnataka Dept of Skill Development, Entrepreneurship and Livelihood","Government Tool Room and Training Centre, Rajajinagar â€” reference via OGD Platform India Karnataka datasets",https://karnataka.data.gov.in/resource/gttc-diploma-courses-data,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via a search-engine summary of Open Government Data Platform India Karnataka datasets. The specific resource page was not directly fetched/read in this session."
src-019,"Directorate of Employment and Training / Government ITI, Gundlupete","Government Industrial Training Institute - Gundlupete â€” Institution Website",https://govtitippura.in/,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via search. Institution's own website was not fetched/read for address/course details in this session."
src-020,"Directorate of Employment and Training (DET), Government of Karnataka â€” Mysuru Division","ITI DET Divisional Office, Mysuru â€” Official Site",https://detmysurudivision.org/,portal-page,,2026-09-05,2026-09-05,pending-review,"Identified via search. Institution's own website was not fetched/read for address/course details in this session."
src-021,"National Skill Training Institute (NSTI) Bengaluru, DGT/MSDE",NSTI Bengaluru â€” Official Institute Website,https://nstibengaluru.dgt.gov.in/dgt,portal-page,,2026-09-05,2026-09-05,verified,"Fetched directly. Address, PIN, phone, and email quoted verbatim. This is a DGT/Central Government training institute (National Skill Training Institute), not a private ITI."
src-022,"National Skill Training Institute for Women (NSTI-W) Bengaluru, DGT/MSDE",NSTI(W) Bengaluru â€” Official Institute Website,https://nstiwbengaluru.dgt.gov.in/,portal-page,,2026-09-05,2026-09-05,verified,"Fetched directly. Address, PIN, phone, and emails quoted verbatim."
src-023,"Directorate General of Training (DGT), Ministry of Skill Development and Entrepreneurship",DGT â€” Central Institutes List,https://dgt.gov.in/en/central-institutes-lists,portal-page,,2026-09-05,2026-09-05,verified,"Fetched directly. Confirms exactly two Karnataka DGT central institutes (NSTI Bengaluru, NSTI(W) Bengaluru) and states their specializations. Gives a slightly different address for each institute than the institute's own site (Tumkur Road vs. Outer Ring Road Yeswanthpur for NSTI Bengaluru; Hosur Road vs. Lakkasandra/Hombegowda Nagar for NSTI(W) Bengaluru) â€” both addresses are recorded; the institute's own site is treated as the more current/authoritative address for the training_centres.csv row, per the newest-authoritative-source rule."
src-024,"Department of Financial Services, Ministry of Finance, Government of India (SLBC Karnataka convenor bank data)",SLBC Karnataka â€” Private ITI Mapped List (Financial Literacy Centre / bank-branch mapping),https://pmjdy.gov.in/files/Financial-Literacy/flc-bank/Private/Karnataka.pdf,pdf-guideline,,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF, 794.9KB, 22 columns x 500+ rows). Hosted on the official pmjdy.gov.in (PMJDY / Financial Inclusion) portal. Each row carries an NCVT-format ITI Code (PR/PU + state code 29 + serial), ITI Name, Category (P=private), Address, District, Phone, Email, plus the Financial Literacy Centre bank-branch mapped to it. This document confirms the EXISTENCE, NAME, ADDRESS, and NCVT-style CODE of each private ITI, and that it was mapped to a bank branch for financial-literacy purposes as of the (undated) list. It does NOT confirm current operating/recognition status, trades/courses offered, or exact coordinates â€” those are treated as unverified for every row sourced here. No publication or last-update date is printed anywhere in the PDF; freshness is therefore recorded as NEEDS_REVALIDATION for operational status, even though the address/name/code data itself was read directly from an official portal."
src-025,"Directorate General of Training (DGT), Ministry of Skill Development and Entrepreneurship",DGT â€” List of 500 ITIs selected under STRIVE (Skills Strengthening for Industrial Value Enhancement),https://dgt.gov.in/sites/default/files/List%20of%20500%20ITIs%20selected%20under%20STRIVE.pdf,pdf-guideline,,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full PDF, 490.4KB, 500 rows: State/UT, Type, NCVT MIS Code, ITI Name, District, Selection Stage). Exactly ONE Karnataka row exists in this 500-ITI national list: row 71, Karnataka, Private, NCVT MIS Code PR29000170, 'Sri Dharmasthala Manjunatheshwara ITI', Dakshina Kannada, Phase 1. This independently cross-validates the SLBC list's row for the same code/name/district (src-024), giving that one centre two-source confirmation â€” the strongest evidentiary support of any private-ITI row added in this pass."
src-026,"Directorate General of Training (DGT), Ministry of Skill Development and Entrepreneurship","DGT - 26th SCAA (Standing Committee on Accreditation and Affiliation) Order: Approval for Dual System of Training (DST) trade/unit affiliation, session 2026 (Gujarat, Haryana, Karnataka, Madhya Pradesh)",https://www.dgt.gov.in/sites/default/files/2026-05/26th-SCAA-Dual-system-of-Training_DST_10_03_2026.pdf,pdf-guideline,2026-03-11,2026-09-05,2026-09-05,verified,"Downloaded and read directly (full 35-page PDF). Official DGT letter (Ref DGT-Aff011(51)/4/2025-O/o DIR (TC), dated 11.03.2026) recommending/rejecting specific ITI-trade-industry DST affiliations decided at the 26th SCAA meeting (15.01.2026 and 20.01.2026). The Karnataka section lists exactly 10 ITIs (each with its official NCVT MIS code), each with one or more specific trades, shift, unit count, partner industry, MoU dates, and an explicit Recommended status. This is the strongest evidence used anywhere in this dataset for a specific centre teaching a specific trade, because it names the exact institute by MIS code, the exact trade, and an explicit current affiliation decision, not an inference from a known DGT trade plus an ITI existing. Two abbreviated trade codes in the source (IR and DMT at Govt ITI (W) Gundlupet, and CND at Govt ITI Chamarajanagar) were NOT expanded into a skill/course, since their full official trade name could not be confirmed in this session - flagged rather than guessed."
src-027,"Labour Bureau, Ministry of Labour & Employment, Government of India","Occupational Wage Survey — Report on the Occupational Wages of Workers in selected occupations (6th Round)",https://labourbureau.gov.in/sites/default/files/2022-11/Occupational_wage_Survey_2022_0.pdf,pdf-guideline,2022-11-01,2026-09-07,2026-09-07,verified,"Official Labour Bureau publication. Provides occupation-wise monthly earnings data. Karnataka-specific data used where available; national median used as fallback. Figures represent earning benchmarks for recognised trade occupations — treated as indicative-only for self-employed and informal workers."
