id,source_id,chunk_text,section,retrieved_date,promoted_to_evidence,embedding_status
chk-021,src-004,"- Short-Term Vocational Training: Training courses offered under CMKKY are aligned to the National Skills Qualification Framework (NSQF) standards.
- Placement Commitment: Training providers empanelled under the scheme are obligated to ensure wage employment or self-employment placement for at least 70% of certified trainees.
- Industry Partnerships: Training curricula and job roles are formulated in consultation with industry sector skill councils and local employer associations in Karnataka.
- Standardized Certification: Trainees who successfully complete assessments are awarded government-recognized skill certifications.",2. Scheme Features and Standards,2026-09-05,false,not-generated
chk-022,src-004,"- Target Group: Youth and informal job seekers residing in Karnataka seeking entry-level technical skills or wage employment in organized industries.
- Portal Registration: Aspiring candidates must register online on the Kaushalkar portal (www.kaushalkar.karnataka.gov.in) to select their preferred district, sector, and training centre.
- Documentation: Aadhaar identity proof and educational qualification certificates relevant to the chosen NSQF course level.
- Note on Age & Educational Limits: Course-specific eligibility criteria (such as minimum age and schooling requirement) depend upon the individual Qualification Pack (QP) prescribed by the respective Sector Skill Council.",3. Beneficiary Eligibility and Registration,2026-09-05,false,not-generated
chk-023,src-006,"Official Source: Karnataka Building and Other Construction Workers Welfare Board, Labour Department, Government of Karnataka
Authority: Karnataka BOCW Welfare Board
Portal URL: https://karbwwb.karnataka.gov.in/en
Source IDs: src-005, src-006",Karnataka Building and Other Construction Workers' Welfare Board (KBOCWWB) Overview,2026-09-05,false,not-generated
chk-024,src-006,"The Karnataka Building and Other Construction Workers' Welfare Board (KBOCWWB) was established in 2007 under the Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act, 1996 and the Karnataka Building and Other Construction Workers Rules, 2006. The Board is responsible for administering the statutory welfare fund raised via construction cess and disbursing social welfare assistance to registered construction workers across Karnataka.",1. Statutory Mandate and Board Overview,2026-09-05,false,not-generated
chk-025,src-006,"- Eligible Trade: Any building or other construction worker engaged in building construction, masonry, carpentry, bar bending, plumbing, electrical installation, painting, demolition, or earthwork within Karnataka.
- Minimum Employment: The worker must have worked for not less than 90 days as a construction worker during the preceding 12 months.
- Age: The applicant must have completed 18 years of age and not reached 60 years of age.
- Required Application Documents: Form V application, Aadhaar card, employer certification / 90-day work certificate (certified by registered contractor, trade union, or labour officer), and active bank account passbook.",2. Beneficiary Registration Requirements,2026-09-05,false,not-generated
chk-026,src-006,"Registered construction workers holding a valid Board identity card are eligible for various welfare assistance schemes:
- Educational Assistance: Annual scholarships for children of registered construction workers studying in primary, secondary, pre-university, undergraduate, and technical/diploma institutions.
- Toolkits and Equipment: Distribution of safety kits and trade-specific toolkit assistance to enhance on-site safety and technical productivity.
- Marriage Assistance: Financial grant disbursed for the marriage of registered construction workers or their children.
- Maternity Benefit: Financial assistance provided to registered female construction workers during pregnancy and childbirth.
- Accident Relief and Funeral Expenses: Immediate financial relief in the event of accidental death or permanent disablement occurring during construction employment.
- Official Helpline: Labour helpline 155214 is operational for registered worker queries and application status tracking. Note: Exact cash assistance figures are subject to state gazette notifications and require official source verification before disbursement citations.",3. Welfare Entitlements and Support Programs,2026-09-05,false,not-generated
chk-027,src-013,"Official Source: Ministry of Skill Development and Entrepreneurship (MSDE), Government of India / Press Information Bureau
Authority: Ministry of Skill Development & Entrepreneurship / National Skill Development Corporation (NSDC)
Source URL: https://www.pib.gov.in/PressReleasePage.aspx?PRID=1895304
Source ID: src-013",Pradhan Mantri Kaushal Vikas Yojana (PMKVY) 4.0 Overview,2026-09-05,false,not-generated
chk-028,src-013,"Pradhan Mantri Kaushal Vikas Yojana (PMKVY) 4.0 was announced under the Skill India Mission to build an agile, future-ready workforce aligned with emerging economic and technological requirements. The scheme prioritizes on-demand training, localized skilling, and industry partnerships across states including Karnataka.",1. Scheme Launch and Objectives,2026-09-05,false,not-generated
chk-029,src-013,"A core pivot in PMKVY 4.0 is the incorporation of future-oriented skill training tailored to Industry 4.0 demands:
- Emerging Domains: Specialized courses in Artificial Intelligence (AI), Robotics, Internet of Things (IoT), Mechatronics, 3D Printing, Drone Technology, and Green Energy / Electric Vehicles.
- Upskilling Traditional Sectors: Modernizing existing manufacturing, logistics, apparel, and construction vocations through digital and automated tool handling.",2. Focus on Industry 4.0 and New-Age Roles,2026-09-05,false,not-generated
chk-030,src-013,"The scheme operates through three primary implementation tracks:
- Short Term Training (STT): Targeted at school/college dropouts and unemployed youth to impart modular vocational skills aligned to NSQF standards.
- Recognition of Prior Learning (RPL): Formally assessing and certifying existing competencies and informal experience of unorganised workers without requiring full-time classroom schooling.
- Special Projects: Custom skilling initiatives designed for marginalized communities, remote districts, and specialized industrial clusters.
- Skill Hubs: Establishing training nodes within existing educational infrastructure (ITIs, Navodaya Vidyalayas, Polytechnics, and Colleges).",3. Scheme Components,2026-09-05,false,not-generated
chk-031,src-013,"- Training Costs: Training and assessment costs are fully sponsored by the Central Government, offering fee-free participation for eligible candidates.
- Assessment and Digital Credentials: Certification is issued upon independent third-party assessment and recorded as digital verifiable credentials via the Skill India Digital platform.
- Operational Reform: PMKVY 4.0 delinks financial payout milestones to training partners from mandatory placement outcomes, prioritizing holistic candidate competence, foundational digital literacy, and lifelong learning adaptability.",4. Policy Revisions and Delinking of Placement Rewards,2026-09-05,false,not-generated
chk-032,src-008,"Official Source: Electronics Sector Skills Council of India (ESSCI) / DGT, MSDE
Authority: ESSCI / DGT
Course ID: crs-002
Skill ID: skl-003
Source ID: src-008",Craftsmen Training Scheme (CTS) — Electrician Trade Syllabus & Qualification,2026-09-05,false,not-generated
chk-033,src-008,"The Electrician trade under the Craftsmen Training Scheme (CTS) is a nationally recognized vocational course categorized under the Electrical & Electronics sector.
- NSQF Level: Level 4
- Duration: 2 Years (1200 hours per year; 2400 hours total encompassing trade theory, trade practical, workshop calculation & science, engineering drawing, and employability skills).
- Entry Qualification: Passed 10th class examination with Science and Mathematics or its equivalent from a recognized board.
- Minimum Age: 14 years (no upper age limit for CTS admissions).",1. Trade Summary and Qualification Level,2026-09-05,false,not-generated
chk-034,src-008,"A certified CTS Electrician acquires foundational and advanced technical competencies:
- Safety Practices: Adherence to Indian Electricity (IE) rules, electrical safety procedures, personal protective equipment (PPE), fire safety, and electric shock first aid.
- Wiring Systems: Planning, executing, and testing domestic, commercial, and industrial electrical wiring in compliance with Bureau of Indian Standards (BIS) specifications.
- Power Equipment: Installation, operation, routine maintenance, and fault diagnosis of Single Phase and Three Phase AC motors, DC machines, alternators, transformers, and switchgear.
- Measuring Instruments: Practical handling and calibration of multimeters, clamp meters, earth megohmmeters (Megger), oscilloscopes, and energy meters.
- Control Panels: Assembly, wiring, and testing of electrical control panels, starters (DOL, Star-Delta), relays, contactors, and circuit breakers (MCB, MCCB, ELCB/RCCB).
- Renewable Energy Integration: Basic configuration, testing, and maintenance of solar photovoltaic (PV) home lighting systems and uninterrupted power supply (UPS) systems.",2. Professional Competencies and Learning Outcomes,2026-09-05,false,not-generated
chk-035,src-008,"Graduates are awarded the National Trade Certificate (NTC) issued by NCVT/DGT upon passing the All India Trade Test (AITT). The qualification qualifies individuals for technician roles in state electricity supply companies (ESCOMs), manufacturing plants, railway maintenance depots, construction sites, and independent electrical contracting businesses.",3. Career Progression and Certification,2026-09-05,false,not-generated
chk-036,src-007,"Official Source: Apparel, Made-ups & Home Furnishing Sector Skill Council (AMHSSC) / National Qualifications Register (NQR)
Authority: NCVET / MSDE / NSDC
Course ID: crs-001
Skill ID: skl-002
Source ID: src-007","Qualification Pack — Self Employed Tailor (AMH/Q1947, v2.0)",2026-09-05,false,not-generated
chk-037,src-007,"A Self Employed Tailor operates independently to design, cut, stitch, finish, and repair bespoke garments based on customer specifications and body measurements.
- QP Code: AMH/Q1947, Version 2.0
- NCO Code: NCO-2015/7531.0100 (Tailors and Dressmakers)
- NSQF Level: Level 4
- Minimum Entry Age: 18 Years
- Minimum Educational Qualification: 8th Class pass with 6 months of relevant apparel sector experience, OR 10th Class pass with no prior experience required.
- Training Duration: Typically 300 to 350 hours covering classroom theory, garment lab practicals, entrepreneurship, and soft skills.",1. Qualification Brief and Job Role Overview,2026-09-05,false,not-generated
chk-038,src-007,"The qualification mandates mastery over five core competencies:
1. Client Consultation and Measurement (AMH/N1947): Taking accurate body measurements, documenting customer preferences, suggesting fabric types, estimating yardage, calculating cost quotes, and scheduling delivery dates.
2. Pattern Drafting and Fabric Cutting (AMH/N1948): Drafting paper patterns for basic and contemporary garments (blouses, kurtas, shirts, trousers, dresses), placing patterns efficiently on fabric to minimize wastage, and cutting panels with industrial cutting shears.
3. Sewing and Assembly Operations (AMH/N1949): Operating manual, motorized, and single-needle lockstitch industrial sewing machines; assembling collars, sleeves, cuffs, pockets, plackets, waistbands, and zippers.
4. Garment Finishing and Quality Inspection (AMH/N1950): Trimming loose threads, pressing and ironing garments, attaching fasteners (hooks, buttons, snaps), checking seam allowances, and conducting final fit inspections.
5. Workshop Safety and Machine Maintenance: Routine cleaning, needle replacement, oiling, bobbin tension adjustment, and adherence to electrical and ergonomic workplace safety standards.",2. Key National Occupational Standards (NOS) & Competencies,2026-09-05,false,not-generated
chk-039,src-007,"Graduates possess the technical and business skills necessary to establish proprietary tailoring micro-enterprises, join boutique design studios, or work as sample tailors in export garment manufacturing factories in Karnataka apparel clusters (e.g. Peenya, Bommanahalli, Doddaballapura).",3. Entrepreneurial Outcomes and Industry Pathways,2026-09-05,false,not-generated
chk-040,src-010,"Official Source: Management & Entrepreneurship and Professional Skills Council (MEPSC) / NCVET
Authority: NCVET / MSDE
Course ID: crs-004
Skill ID: skl-004
Source ID: src-010",Qualification File — Armed Security Guard (NCVET Code 2022/OAFM/MEPSC/05426),2026-09-05,false,not-generated
chk-041,src-010,"An Armed Security Guard is responsible for providing armed protection to designated personnel, high-value assets, cash-in-transit (CIT) vans, bank premises, and sensitive commercial establishments under the Private Security Agencies (Regulation) Act (PSARA), 2005.
- NCVET File Code: 2022/OAFM/MEPSC/05426
- NCO Code: NCO-2015/5414.0151
- NSQF Level: Level 4
- Minimum Entry Age: 21 Years
- Minimum Educational & Experience Qualifications:
- Class 10th pass from a recognized board, AND
- Minimum 2 years of prior experience in the Armed Forces, Central Armed Police Forces (CAPF), State Police, or recognized paramilitary agencies, OR 3 years of verified private security guard experience with a valid arms license.
- Total Training Duration: 450 Hours (174 Hours Theory + 276 Hours Practical/Range Training; offline classroom and firing range mode).",1. Job Role Description and Qualification Parameters,2026-09-05,false,not-generated
chk-042,src-010,"The qualification covers stringent legal, physical, and weapon safety competencies:
- Firearms Handling and Maintenance: Safe loading, unloading, clearing, dry firing, cleaning, and maintenance of 12-bore DBBL/SBBL shotguns and permissible handguns; adherence to the Arms Act 1959.
- Range Drill and Target Engagement: Target acquisition, safe drawing, breath control, trigger pull, live ammunition firing drill, and misfire drill under certified range supervisors.
- Access Control and Perimeter Defense: Screening visitors, inspecting vehicles with under-chassis mirrors, operating handheld metal detectors (HHMD) and door frame metal detectors (DFMD), maintaining visitor logs.
- Emergency Response and Crisis Management: Responding to armed robbery attempts, crowd panic, fire alarms, medical emergencies, hostage scenarios, and coordinating with local law enforcement stations.
- Legal Protocols and Use of Force: Strict adherence to proportional use of force, self-defense law, post-incident evidence preservation, and reporting protocols under PSARA rules.",2. Core Modules and Operational Competencies,2026-09-05,false,not-generated
chk-043,src-010,"Certified candidates are eligible for immediate empanelment with PSARA-licensed Private Security Agencies (PSAs), specialized Cash Logistics Companies, banking institutions, and critical infrastructure installations across Karnataka.",3. Empanelment and Employment Opportunities,2026-09-05,false,not-generated
chk-044,src-026,"Official Source: Automotive Skills Development Council (ASDC) / DGT CTS
Authority: ASDC / NCVET / DGT
Course ID: crs-008
Skill ID: skl-010
Source ID: src-026",Qualification Pack — Mechanic Motor Vehicle (ASDC Standards),2026-09-05,false,not-generated
chk-045,src-026,"The Mechanic Motor Vehicle trade qualifies technicians to perform complete maintenance, diagnostics, servicing, and overhauling of internal combustion engines, commercial vehicles, passenger cars, and motorized two/three-wheelers.
- NSQF Level: Level 4
- Duration: 2 Years under CTS (or 400-500 hours modular QP for Automotive Service Technician).
- Entry Qualification: Passed 10th Class examination with Science and Mathematics.
- Minimum Age: 14 years (CTS) / 18 years (QP employment).",1. Trade Profile and Qualification Overview,2026-09-05,false,not-generated
chk-046,src-026,"- Engine Systems: Disassembly, inspection, measurement, and reassembly of petrol and diesel engine components (cylinder block, piston rings, crankshaft, camshaft, valves, timing gears/belts).
- Fuel and Exhaust Systems: Servicing Common Rail Direct Injection (CRDI) diesel systems, electronic fuel injection (EFI) petrol systems, turbochargers, intercoolers, catalytic converters, and diesel particulate filters (DPF).
- Transmission and Drivetrain: Inspection and repair of manual and automatic gearboxes, clutch assemblies, propeller shafts, universal joints, differential units, and drive axles.
- Braking, Steering, and Suspension: Overhauling hydraulic, vacuum-assisted, and air brake systems; Anti-lock Braking System (ABS) diagnostics; wheel alignment and balancing; power steering racks; McPherson strut suspension.
- Auto Electrical and OBD Diagnostics: Scanning on-board vehicle electronic control units (ECUs) using OBD-II diagnostic scanners, reading fault codes (DTCs), troubleshooting starter motors, alternators, battery management, lighting, and wiring harnesses.",2. Key Diagnostic & Servicing Competencies,2026-09-05,false,not-generated
chk-047,src-026,"Certified technicians find direct employment in authorized automobile dealership service centres, state road transport corporation workshops (KSRTC, BMTC), logistics fleet maintenance yards, and independent automotive repair garages.",3. Workshop Safety and Career Progression,2026-09-05,false,not-generated
chk-048,src-026,"Official Source: Directorate General of Training (DGT), Ministry of Skill Development and Entrepreneurship (MSDE)
Authority: NCVT / DGT
Course ID: crs-005
Skill ID: skl-007
Source ID: src-026",Craftsmen Training Scheme (CTS) — Fitter Trade Syllabus,2026-09-05,false,not-generated
chk-049,src-026,"The Fitter trade is a core mechanical engineering trade under CTS that develops foundational precision manufacturing, bench work, fitting, machine assembly, and maintenance competencies.
- NSQF Level: Level 4
- Duration: 2 Years (2400 hours total practical, theory, engineering drawing, and workshop calculations).
- Entry Qualification: Passed 10th class examination with Science and Mathematics.
- Certification: National Trade Certificate (NTC) awarded by NCVT upon successful All India Trade Test (AITT) assessment.",1. Trade Profile and Qualification Structure,2026-09-05,false,not-generated
chk-050,src-026,"A certified Fitter executes precision engineering tasks:
- Bench Work and Hand Tools: Precision marking, filing, sawing, chiseling, scraping, reaming, and tapping using precision hand tools within tight tolerances (up to ±0.02 mm).
- Precision Measurement: Proficient reading and handling of vernier calipers, outside/inside micrometers, vernier height gauges, dial test indicators, sine bars, and slip gauges.
- Machine Operations: Setting up and operating standard workshop machinery including sensitive drilling machines, power hacksaws, shaping machines, and pedestal grinders.
- Fasteners and Assembly: Fitting keys, splines, dowel pins, bearings, couplings, gears, pulleys, and belts onto shafts; checking alignment and concentricity.
- Pipes and Hydraulics: Basic pipe bending, threading, flanging, valve fitting; assembly and testing of pneumatic and hydraulic control circuits.
- Preventive Maintenance: Routine lubrication, bearing replacement, alignment checks, seal replacement, and troubleshooting industrial machinery.",2. Practical Fitting and Assembly Competencies,2026-09-05,false,not-generated
chk-051,src-026,"Fitters are in high demand across public sector and private industrial units: aerospace manufacturing, defense production units (HAL, BEL), Indian Railways, machine tool plants, heavy engineering fabrication yards, and automotive assembly plants in Karnataka industrial corridors.",3. Industrial Application and Employment,2026-09-05,false,not-generated
chk-052,src-023,"Official Source: Directorate General of Training (DGT), Ministry of Skill Development and Entrepreneurship
Authority: DGT / MSDE
Source ID: src-023
Portal URL: https://dgt.gov.in/en/central-institutes-lists",DGT Central Institutes Directory — Karnataka Reference,2026-09-05,false,not-generated
chk-053,src-023,The Directorate General of Training directly operates apex National Skill Training Institutes in Karnataka to deliver advanced Crafts Instructor Training Scheme (CITS) and specialized Craftsmen Training Scheme (CTS) courses:,1. National Skill Training Institutes (NSTI) in Karnataka,2026-09-05,false,not-generated
chk-054,src-023,"- Official Address: Outer Ring Road, Near Peenya Metro Station, Yeswanthpur Suburb, Bengaluru, Karnataka 560022. (Also referenced at Tumkur Road, Bengaluru).
- Primary Disciplines: Advanced welding technologies, computer numerical control (CNC) machining, tool and die making, electrical installation and maintenance, IoT and smart manufacturing.
- Program Levels: Crafts Instructor Training Scheme (CITS) for training future ITI instructors; advanced CTS programs for high-skill vocational trades.",1.1 National Skill Training Institute (NSTI) Bengaluru,2026-09-05,false,not-generated
chk-055,src-023,"- Official Address: Hosur Road, Near Dairy Circle, Lakkasandra / Hombegowda Nagar, Bengaluru, Karnataka 560029.
- Focus Areas: Women-focused vocational skilling in architectural draftsmanship, computer aided design (CAD), digital applications, fashion technology, and modern IoT-driven electronics.
- Infrastructure: Specialized laboratory facilities, women's hostel, incubation facilities, and technical placement tie-ups.",1.2 National Skill Training Institute for Women (NSTI-W) Bengaluru,2026-09-05,false,not-generated
